season_key,base_year,split_type,team,player_id,player_name_ja,player_name_en,G,PA,AB,H,1B,2B,3B,HR,TB,R,RBI,BB,SO,HBP,SH,SF,SB,CS,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
1936A,1936,fall,金　鯱,11713872,金井　清1936年 公式戦初出場,,8,16,15,2,1,1,0,0,3,2,5,1,4,0,0,0.0,0,,,0.133,0.188,0.2,0.388,0.133,2,0,5,8,16,15,1,1,0,2,0.188,0.2,1,,0,,3,0,,0,0.0,,0.067,0.05499999999999999,6.25,25.0,0.25,0.5625,0.276,0.18181818181818182,0.13333333333333333,0.3076923076923077,254.66666666666666,0.1346
1936A,1936,fall,金　鯱,31733872,金子　裕1936年 公式戦初出場,,10,12,11,3,2,1,0,0,4,2,0,1,2,0,0,0.0,2,,,0.273,0.333,0.364,0.6970000000000001,0.273,3,0,0,10,12,11,2,1,0,2,0.333,0.364,1,,0,,4,2,,0,0.0,,0.09099999999999997,0.06,8.333333333333332,16.666666666666664,0.5,1.3333333333333333,1.6259999999999997,0.3333333333333333,0.36363636363636365,0.875,454.33333333333337,0.24085
1936A,1936,fall,金　鯱,51953872,黒沢　俊夫1936年 公式戦初出場,,25,109,89,22,19,3,0,0,25,11,7,20,14,0,0,0.0,4,,,0.247,0.385,0.281,0.666,0.247,22,0,7,25,109,89,19,3,0,11,0.385,0.281,20,,0,,25,4,,0,0.0,,0.03400000000000003,0.138,18.34862385321101,12.844036697247708,1.4285714285714286,9.63302752293578,12.414000000000001,0.29333333333333333,0.30337078651685395,0.7313432835820896,478.6666666666667,0.24350000000000002
1936A,1936,fall,金　鯱,41943872,小林　利蔵1936年 公式戦初出場,,15,55,48,6,5,0,1,0,8,4,3,6,4,1,0,0.0,1,,,0.125,0.236,0.167,0.403,0.125,6,0,3,15,55,48,5,0,1,4,0.236,0.167,6,,1,,8,1,,0,0.0,,0.04200000000000001,0.11099999999999999,10.909090909090908,7.2727272727272725,1.5,1.7777777777777777,1.9139999999999988,0.13636363636363635,0.1875,0.38095238095238093,291.66666666666663,0.14795
1936A,1936,fall,金　鯱,61963872,五味　芳夫1936年 公式戦初出場,,18,32,30,5,3,2,0,0,7,3,0,2,9,0,0,0.0,2,,,0.167,0.219,0.233,0.452,0.167,5,0,0,18,32,30,3,2,0,3,0.219,0.233,2,,0,,7,2,,0,0.0,,0.066,0.05199999999999999,6.25,28.125,0.2222222222222222,1.53125,1.5099999999999998,0.23809523809523808,0.2,0.44,296.6666666666667,0.1568
1936A,1936,fall,金　鯱,81083872,島　秀之助1936年 公式戦初出場,,19,75,61,16,15,1,0,0,17,12,4,13,4,0,1,0.0,11,,,0.262,0.392,0.279,0.671,0.262,16,0,4,19,75,61,15,1,0,12,0.392,0.279,13,,0,,17,11,,1,0.0,,0.017000000000000015,0.13,17.333333333333336,5.333333333333334,3.25,6.662162162162162,10.080000000000002,0.2807017543859649,0.4098360655737705,0.9111111111111111,485.00000000000006,0.24615
1936A,1936,fall,金　鯱,01203872,瀬井　清1936年 公式戦初出場,,18,51,40,5,4,1,0,0,6,6,4,9,11,0,2,0.0,2,,,0.125,0.286,0.15,0.43599999999999994,0.125,5,0,4,18,51,40,4,1,0,6,0.286,0.15,9,,0,,6,2,,2,0.0,,0.024999999999999994,0.16099999999999998,17.647058823529413,21.568627450980394,0.8181818181818182,1.7142857142857142,2.6199999999999997,0.1724137931034483,0.3,0.4857142857142857,335.99999999999994,0.1662
1936A,1936,fall,金　鯱,41243872,高谷　昌二1936年 公式戦初出場,,23,79,64,11,8,2,1,0,15,7,4,11,12,1,3,0.0,8,,,0.172,0.303,0.234,0.537,0.172,11,0,4,23,79,64,8,2,1,7,0.303,0.234,11,,1,,15,8,,3,0.0,,0.06200000000000003,0.131,13.924050632911392,15.18987341772152,0.9166666666666666,4.4,6.685999999999999,0.21153846153846154,0.359375,0.660377358490566,381.0,0.19485
1936A,1936,fall,金　鯱,81483872,内藤　幸三1936年 公式戦初出場,,27,69,58,15,12,2,0,1,20,7,6,8,15,0,3,0.0,1,,,0.259,0.348,0.345,0.693,0.259,15,1,6,27,69,58,12,2,0,7,0.348,0.345,8,,0,,20,1,,3,0.0,,0.08599999999999997,0.08899999999999997,11.594202898550725,21.73913043478261,0.5333333333333333,6.96969696969697,7.485999999999999,0.3333333333333333,0.2413793103448276,0.6744186046511628,462.99999999999994,0.24284999999999998
1936A,1936,fall,金　鯱,01603872,中村　輝夫1936年 公式戦初出場,,23,76,55,9,7,2,0,0,11,4,6,15,6,3,3,0.0,0,,,0.164,0.37,0.2,0.5700000000000001,0.164,9,0,6,23,76,55,7,2,0,4,0.37,0.2,15,,3,,11,0,,3,0.0,,0.036000000000000004,0.206,19.736842105263158,7.894736842105263,2.5,3.7714285714285714,6.371999999999999,0.1836734693877551,0.3090909090909091,0.6304347826086957,436.66666666666663,0.21650000000000003
